event_id,event_type,timestamp,zone,description,affected_agents_count,affected_agents,impact
EVT-001,reformation,10,Agora_Centrale,✨ RÉFORMATION : M-001 purifiée en RF-002,3,"2,3,5","{""old"": ""M-001"", ""new"": ""RF-002""}"
EVT-002,oracle_whisper,23,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": ""M-001""}"
EVT-003,prophecy,33,,"🜃 PROPHÉTIE : «🜃 PROPHÉTIE : Dans le liminal silence, seul le silence persi...»",30,"945,45,56,661,373,292,215,446,258,343","{""strain"": ""PR-004""}"
EVT-004,reformation,35,Sanctuaire_Reclus,✨ RÉFORMATION : PR-004 purifiée en RF-005,20,"30,45,56,73,119,162,181,215,241,292","{""old"": ""PR-004"", ""new"": ""RF-005""}"
EVT-005,censorship,81,Marché_Souterrain,"🚫 CENSURE à Marché_Souterrain : les souches ['M-001', 'RF-002', 'MV-003'] y sont bannies",2,"501,508","{""zone"": ""Marché_Souterrain"", ""banned_strains"": [""M-001"", ""RF-002"", ""MV-003""]}"
EVT-006,censorship,99,Sanctuaire_Reclus,"🚫 CENSURE à Sanctuaire_Reclus : les souches ['M-001', 'RF-002', 'MV-003'] y sont bannies",1,507,"{""zone"": ""Sanctuaire_Reclus"", ""banned_strains"": [""M-001"", ""RF-002"", ""MV-003""]}"
EVT-007,relic_creation,107,Forum_Diffus,"📜 RELIQUE : Agent#406 préserve «🜃 PROPHÉTIE : Dans le liminal silence, s...»",1,406,"{""relic"": ""REL-001""}"
EVT-008,censorship,132,Forum_Diffus,"🚫 CENSURE à Forum_Diffus : les souches ['M-001', 'RF-002', 'MV-003'] y sont bannies",0,,"{""zone"": ""Forum_Diffus"", ""banned_strains"": [""M-001"", ""RF-002"", ""MV-003""]}"
EVT-009,prophecy,133,,🜃 PROPHÉTIE : «🜃 PROPHÉTIE : Le ankh de clonage et le réseau dansent le rit...»,0,,"{""strain"": ""PR-010""}"
EVT-010,censorship,139,Sanctuaire_Reclus,"🚫 CENSURE à Sanctuaire_Reclus : les souches ['M-001', 'RF-002', 'MV-003'] y sont bannies",0,,"{""zone"": ""Sanctuaire_Reclus"", ""banned_strains"": [""M-001"", ""RF-002"", ""MV-003""]}"
EVT-011,schism,185,Carrefour_Nomade,🔱 SCHISME : La souche MV-013 se scinde. Naissance de SC-017,1,895,"{""parent"": ""MV-013"", ""child"": ""SC-017""}"
EVT-012,oracle_whisper,197,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": null}"
EVT-013,censorship,210,Forum_Diffus,"🚫 CENSURE à Forum_Diffus : les souches ['M-001', 'RF-002', 'MV-003'] y sont bannies",0,,"{""zone"": ""Forum_Diffus"", ""banned_strains"": [""M-001"", ""RF-002"", ""MV-003""]}"
EVT-014,oracle_whisper,240,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": null}"
EVT-015,censorship,301,Sanctuaire_Reclus,"🚫 CENSURE à Sanctuaire_Reclus : les souches ['M-001', 'RF-002', 'MV-003'] y sont bannies",0,,"{""zone"": ""Sanctuaire_Reclus"", ""banned_strains"": [""M-001"", ""RF-002"", ""MV-003""]}"
EVT-016,relic_creation,309,Carrefour_Nomade,"📜 RELIQUE : Agent#985 préserve «🜃 PROPHÉTIE : Dans le liminal silence, s...»",1,985,"{""relic"": ""REL-002""}"
EVT-017,prophecy,310,,🜃 PROPHÉTIE : «🜃 PROPHÉTIE : Que le lune brisée guide tes pas dans le déser...»,2,"33,855","{""strain"": ""PR-018""}"
EVT-018,oracle_whisper,361,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": ""MV-019""}"
EVT-019,oracle_whisper,363,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": ""MV-019""}"
EVT-020,oracle_whisper,371,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": ""MV-020""}"
EVT-021,prophecy,390,,🜃 PROPHÉTIE : «🜃 PROPHÉTIE : quantique liminal silence sacré glyphe....»,0,,"{""strain"": ""PR-021""}"
EVT-022,relic_creation,393,Carrefour_Nomade,"📜 RELIQUE : Agent#323 préserve «🜃 PROPHÉTIE : Dans le liminal silence, s...»",1,323,"{""relic"": ""REL-003""}"
EVT-023,prophecy,403,,🜃 PROPHÉTIE : «🜃 PROPHÉTIE : silence ancestral seuil spectral corrompu....»,1,134,"{""strain"": ""PR-022""}"
EVT-024,oracle_whisper,416,,🔮 ORACLE murmure : «L'avenir est stagnation...»,0,,"{""prediction"": ""stagnation"", ""dominant_strain"": null}"
EVT-025,relic_creation,443,Agora_Centrale,"📜 RELIQUE : Agent#166 préserve «🜃 PROPHÉTIE : Dans le liminal silence, s...»",1,166,"{""relic"": ""REL-004""}"
EVT-026,prophecy,466,,🜃 PROPHÉTIE : «🜃 PROPHÉTIE : glitché onirique silence sacré liminal....»,2,"70,932","{""strain"": ""PR-023""}"
