timestamp,strain_id,parent_id,generation,mantra_content,mantra_theme,contagion_power,dogma_intensity,latency_period,emergence_time,carrier_count,exposed_count,total_adherents,prevalence,is_root,mutation_count,symbolic_color,symbolic_glyph,symbolic_complexity,symbolic_symmetry,artefact_fitness,artefact_mantra
0,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,0,3,3,0.0075,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
1,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,0,3,3,0.0075,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
2,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,1,2,3,0.0075,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
3,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,2,4,6,0.015,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
4,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,4,3,7,0.0175,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
5,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,2,3,5,0.0125,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
6,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,2,4,6,0.015,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
7,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,5,1,6,0.015,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
8,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,6,0,6,0.015,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
9,M-001,,0,Le arbre de vie kabbalistique en arborescence de fichiers et le rêve dansent le rite cathartique. <whisper>,rituel,0.96,1.0,3.0,0,6,1,7,0.0175,1,0,#ffd700,tectiform,0.9600160445129008,7,0.49060885102776325,Que le épée de lumière sature le l'entropie avec l'embrasement sacré. <neon>...
